Label (Grouping),United States!!Total!!Estimate,United States!!Unemployment rate!!Estimate
Population 16 years and over,"243,832,923",10.80%
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
    Male,"91,956,354",10.80%
    Female,"93,561,884",9.30%
,,
,,
,,
,,
,,
,,
,,
    Less than high school graduate,"20,511,954",16.50%
    High school graduate (includes equivalency),"44,350,497",11.80%
    Some college or associate's degree,"50,041,885",9.40%
    Bachelor's degree or higher,"48,951,072",5.00%
,,
,,
