"Label (Grouping)","United States!!Median earnings (dollars)!!Estimate","United States!!Median earnings (dollars) for male!!Estimate","United States!!Median earnings (dollars) for female!!Estimate"
"Full-time, year-round civilian employed population 16 years and over with earnings","44,819","50,119","40,022"
"Management, business, science, and arts occupations:","62,255","75,407","53,521"
"    Management, business, and financial occupations:","68,088","77,975","58,401"
"        Management occupations","71,660","80,809","61,138"
"        Business and financial operations occupations","61,547","71,816","55,043"
"    Computer, engineering, and science occupations:","77,400","81,089","68,236"
"        Computer and mathematical occupations","80,339","82,130","71,378"
"        Architecture and engineering occupations","80,270","81,198","70,435"
"        Life, physical, and social science occupations","65,215","70,726","59,905"
"    Education, legal, community service, arts, and media occupations:","50,417","57,809","46,386"
"        Community and social services occupations","42,461","45,658","41,893"
"        Legal occupations","84,791","120,270","64,121"
"        Education, training, and library occupations","48,649","55,772","45,789"
"        Arts, design, entertainment, sports, and media occupations","51,446","55,746","47,131"
"    Healthcare practitioner and technical occupations:","60,928","80,084","56,629"
"        Health diagnosing and treating practitioners and other technical occupations","71,692","102,084","66,517"
"        Health technologists and technicians","40,569","45,956","38,906"
"Service occupations:","26,834","31,254","23,924"
"    Healthcare support occupations","27,470","30,921","27,170"
"    Protective service occupations:","50,594","52,118","40,787"
"        Fire fighting and prevention, and other protective service workers including supervisors","40,496","42,027","32,959"
"        Law enforcement workers including supervisors","59,297","61,190","48,388"
"    Food preparation and serving related occupations","21,938","23,729","20,620"
"    Building and grounds cleaning and maintenance occupations","25,797","28,980","21,421"
"    Personal care and service occupations","24,280","29,220","22,718"
"Sales and office occupations:","37,397","45,469","34,506"
"    Sales and related occupations","42,101","50,928","32,588"
"    Office and administrative support occupations","35,770","39,077","34,962"
"Natural resources, construction, and maintenance occupations:","40,928","41,124","31,210"
"    Farming, fishing, and forestry occupations","25,822","26,962","20,606"
"    Construction and extraction occupations","40,235","40,300","35,673"
"    Installation, maintenance, and repair occupations","45,414","45,515","41,070"
"Production, transportation, and material moving occupations:","36,280","39,401","27,200"
"    Production occupations","36,278","40,435","27,256"
"    Transportation occupations","41,549","42,204","31,533"
"    Material moving occupations","30,254","31,092","24,835"
